id, ex_name,count,machine_id,name,disk_count,speed,cost,size,name,ram,cpu_count,speed,cost, time, cost
198,terasort,14,12,local,3,fast,0,500,i2.2xlarge,61,8,slow,1.876,473.56,3.45488328889
199,terasort,2,12,local,3,fast,0,500,i2.2xlarge,61,8,slow,1.876,5202.96,5.42264053333
200,terasort,4,12,local,3,fast,0,500,i2.2xlarge,61,8,slow,1.876,1856.92,3.87064657778
201,terasort,6,12,local,3,fast,0,500,i2.2xlarge,61,8,slow,1.876,1180.94,3.69240573333
202,terasort,8,12,local,3,fast,0,500,i2.2xlarge,61,8,slow,1.876,881.56,3.67512568889
203,terasort,12,5,local,2,fast,0,500,i2.xlarge,30.5,4,slow,0.938,1069.93,3.34531446667
204,terasort,16,5,local,2,fast,0,500,i2.xlarge,30.5,4,slow,0.938,820.54,3.42074008889
205,terasort,20,5,local,2,fast,0,500,i2.xlarge,30.5,4,slow,0.938,678.29,3.53464455556
206,terasort,28,5,local,2,fast,0,500,i2.xlarge,30.5,4,slow,0.938,492.67,3.59430135556
207,terasort,4,5,local,2,fast,0,500,i2.xlarge,30.5,4,slow,0.938,3714.58,3.87141782222
208,terasort,8,5,local,2,fast,0,500,i2.xlarge,30.5,4,slow,0.938,1724.85,3.595354
209,terasort,10,6,ebs,2,slow,0.12,500,m4.2xlarge,32,8,slow,0.588,880.49,1.73163033333
210,terasort,12,6,ebs,2,slow,0.12,500,m4.2xlarge,32,8,slow,0.588,673.61,1.5897196
211,terasort,14,6,ebs,2,slow,0.12,500,m4.2xlarge,32,8,slow,0.588,587.07,1.6163994
212,terasort,4,6,ebs,2,slow,0.12,500,m4.2xlarge,32,8,slow,0.588,2692.9,2.11841466667
213,terasort,6,6,ebs,2,slow,0.12,500,m4.2xlarge,32,8,slow,0.588,1546.99,1.8254482
214,terasort,8,6,ebs,2,slow,0.12,500,m4.2xlarge,32,8,slow,0.588,1116.21,1.7561704
215,terasort,16,7,ebs,2,slow,0.12,500,m4.large,8,2,slow,0.147,1740.44,2.06532213333
216,terasort,24,7,ebs,2,slow,0.12,500,m4.large,8,2,slow,0.147,1186.58,2.1121124
217,terasort,32,7,ebs,2,slow,0.12,500,m4.large,8,2,slow,0.147,890.17,2.11267013333
218,terasort,40,7,ebs,2,slow,0.12,500,m4.large,8,2,slow,0.147,722.32,2.14288266667
219,terasort,48,7,ebs,2,slow,0.12,500,m4.large,8,2,slow,0.147,592.67,2.1099052
220,terasort,56,7,ebs,2,slow,0.12,500,m4.large,8,2,slow,0.147,529.52,2.19927306667
221,terasort,8,7,ebs,2,slow,0.12,500,m4.large,8,2,slow,0.147,3668.85,2.176851
222,terasort,12,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,1551.24,2.1407112
223,terasort,16,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,880.72,1.6205248
224,terasort,20,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,704.62,1.620626
225,terasort,24,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,570.94,1.5757944
226,terasort,28,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,491.11,1.5813742
227,terasort,4,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,4161.82,1.9144372
228,terasort,8,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,1748,1.60816
229,terasort,10,9,ebs,2,slow,0.12,500,r3.2xlarge,61,8,slow,0.78,840,2.1
230,terasort,12,9,ebs,2,slow,0.12,500,r3.2xlarge,61,8,slow,0.78,684.02,2.05206
231,terasort,14,9,ebs,2,slow,0.12,500,r3.2xlarge,61,8,slow,0.78,599.6,2.0986
232,terasort,4,9,ebs,2,slow,0.12,500,r3.2xlarge,61,8,slow,0.78,2671.99,2.67199
233,terasort,6,9,ebs,2,slow,0.12,500,r3.2xlarge,61,8,slow,0.78,1538.81,2.308215
234,terasort,8,9,ebs,2,slow,0.12,500,r3.2xlarge,61,8,slow,0.78,1112.52,2.22504
235,terasort,16,10,ebs,2,slow,0.12,500,r3.large,15.25,2,slow,0.195,1808.48,2.531872
236,terasort,24,10,ebs,2,slow,0.12,500,r3.large,15.25,2,slow,0.195,1211.38,2.543898
237,terasort,32,10,ebs,2,slow,0.12,500,r3.large,15.25,2,slow,0.195,914.35,2.56018
238,terasort,40,10,ebs,2,slow,0.12,500,r3.large,15.25,2,slow,0.195,759.21,2.657235
239,terasort,48,10,ebs,2,slow,0.12,500,r3.large,15.25,2,slow,0.195,623.9,2.62038
240,terasort,56,10,ebs,2,slow,0.12,500,r3.large,15.25,2,slow,0.195,558.97,2.738953
241,terasort,8,10,ebs,2,slow,0.12,500,r3.large,15.25,2,slow,0.195,3854.07,2.697849
242,terasort,12,11,ebs,2,slow,0.12,500,r3.xlarge,30.5,4,slow,0.39,1503.76,2.556392
243,terasort,16,11,ebs,2,slow,0.12,500,r3.xlarge,30.5,4,slow,0.39,1126.23,2.552788
244,terasort,20,11,ebs,2,slow,0.12,500,r3.xlarge,30.5,4,slow,0.39,943.97,2.67458166667
245,terasort,24,11,ebs,2,slow,0.12,500,r3.xlarge,30.5,4,slow,0.39,770.87,2.620958
246,terasort,28,11,ebs,2,slow,0.12,500,r3.xlarge,30.5,4,slow,0.39,637.93,2.53045566667
247,terasort,4,11,ebs,2,slow,0.12,500,r3.xlarge,30.5,4,slow,0.39,5638.02,3.194878
248,terasort,8,11,ebs,2,slow,0.12,500,r3.xlarge,30.5,4,slow,0.39,2372.21,2.68850466667
249,tpcds,10,1,ebs,2,slow,0.12,500,c4.2xlarge,15,8,fast,0.552,391.799437,0.731358949067
250,tpcds,2,1,ebs,2,slow,0.12,500,c4.2xlarge,15,8,fast,0.552,988.482559,0.369033488693
251,tpcds,4,1,ebs,2,slow,0.12,500,c4.2xlarge,15,8,fast,0.552,554.3584821,0.413920999968
